Posição,Mulheres,Óbitos (F),% (F),Homens,Óbitos (M),% (M)
1,C50 Mama,96080,16.5,C61 Próstata,83653,13.5
2,C34 Brônquios e pulmões,68832,11.8,C34 Brônquios e pulmões,81641,13.1
3,C18 Cólon,36951,6.4,C16 Estômago,45675,7.3
4,C53 Colo do útero,34917,6.0,C18 Cólon,35130,5.6
5,C25 Pâncreas,32653,5.6,C15 Esôfago,33324,5.4
6,C16 Estômago,26512,4.6,C25 Pâncreas,31750,5.1
7,C22 Fígado e vias biliares intra-hepáticas,23204,4.0,C22 Fígado e vias biliares intra-hepáticas,31657,5.1
8,C56 Ovário,21183,3.6,C71 Encéfalo,22352,3.6
9,C71 Encéfalo,20370,3.5,C32 Laringe,20071,3.2
10,C80 Sem especificação de localização,14246,2.5,C67 Bexiga,16919,2.7
